10		10		10		10		10		10		10		10		10		10		10		10		10		10	
Nadine SEC Superose 6001:10_UV1_280nm		Nadine SEC Superose 6001:10_UV2_360nm		Nadine SEC Superose 6001:10_UV3_410nm		Nadine SEC Superose 6001:10_Cond		Nadine SEC Superose 6001:10_Cond%		Nadine SEC Superose 6001:10_Conc		Nadine SEC Superose 6001:10_pH		Nadine SEC Superose 6001:10_Pressure		Nadine SEC Superose 6001:10_Flow		Nadine SEC Superose 6001:10_Temp		Nadine SEC Superose 6001:10_Fractions		Nadine SEC Superose 6001:10_Inject		Nadine SEC Superose 6001:10_UV1_280nm@01,BASEM		Nadine SEC Superose 6001:10_Logbook	
min	UV1_280nm	min	UV22_360nm	min	UV3_410nm	min	 mS/cm	min	 %	min	 %B	min	 	min	 MPa	min	 ml/min	min	 °C	min	(Fractions)	min	(Injections)	min	 mAU	min	(Set Marks)
3.64	16.69	3.64	334.24	3.64	322.26	3.85	2.54	3.85	2.5	3.85	0	3.85	7.9	3.85	0	3.85	0.02	4.2	28.5	53.76	22			3.64	-0.95	-0.03	Block Eluent_A_Inlet
3.81	14.91	3.81	333.45	3.81	321.63	4.03	2.53	4.03	2.5	4.03	0	4.03	7.9	4.03	0	4.03	0.02	4.4	28.5	56.25	23			3.81	-0.95	-0.03	Base SameAsMain
3.99	13.46	3.99	332.67	3.99	320.96	4.22	2.53	4.22	2.5	4.22	0	4.22	7.9	4.22	0	4.22	0.02	4.6	28.5	58.75	24			3.99	-0.95	-0.03	PumpAInlet A1 
4.16	12.07	4.16	332.05	4.16	320.52	4.4	2.53	4.4	2.5	4.4	0	4.4	7.9	4.4	0	4.4	0.02	4.8	28.5	61.25	25			4.16	-0.95	-0.03	End Block
4.33	10.82	4.33	331.44	4.33	320.09	4.58	2.53	4.58	2.5	4.58	0	4.58	7.9	4.58	0	4.58	0.02	5	28.5	63.74	26			4.33	-0.95	-0.03	Block Eluent_B_Inlet
4.51	9.87	4.51	330.97	4.51	319.66	4.77	2.53	4.77	2.5	4.77	0	4.77	7.89	4.77	0	4.77	0.02	5.2	28.5	66.24	27			4.51	-0.95	-0.03	Base SameAsMain
4.68	8.87	4.68	330.56	4.68	319.42	4.95	2.53	4.95	2.5	4.95	0	4.95	7.9	4.95	0	4.95	0.02	5.4	28.5	68.74	28			4.68	-0.95	-0.03	PumpBInlet B1 
4.85	8.15	4.85	330.12	4.85	319.03	5.13	2.53	5.13	2.5	5.13	0	5.13	7.9	5.13	0	5.13	0.02	5.6	28.5	71.23	29			4.85	-0.95	-0.03	End Block
5.03	7.36	5.03	329.82	5.03	318.77	5.32	2.53	5.32	2.5	5.32	0	5.32	7.9	5.32	0	5.32	0.02	5.8	28.5	73.73	30			5.03	-0.95	-0.03	Block Start_Conc_B
5.2	6.88	5.2	329.56	5.2	318.7	5.5	2.53	5.5	2.5	5.5	0	5.5	7.9	5.5	0	5.5	0.02	6	28.5	76.22	31			5.2	-0.95	-0.03	Base SameAsMain
