10		10		10		10		10		10		10		10		10		10		10		10		10	
Nadine SEC Superose 6001:10_UV1_280nm	mAU	Nadine SEC Superose 6001:10_UV2_360nm	mAU	Nadine SEC Superose 6001:10_UV3_410nm	mAU	Nadine SEC Superose 6001:10_Cond		Nadine SEC Superose 6001:10_Cond%		Nadine SEC Superose 6001:10_Conc		Nadine SEC Superose 6001:10_pH		Nadine SEC Superose 6001:10_Pressure		Nadine SEC Superose 6001:10_Flow		Nadine SEC Superose 6001:10_Temp		Nadine SEC Superose 6001:10_Fractions		Nadine SEC Superose 6001:10_Inject		Nadine SEC Superose 6001:10_Logbook	
ml	280 nm	ml	360 nm	ml	410 nm	ml	 mS/cm	ml	 %	ml	 %B	ml	 	ml	 MPa	ml	 ml/min	ml	 °C	ml	(Fractions)	ml	(Injections)	ml	(Set Marks)
0.1	0.88	0.1	326.48	0.1	316.39	0.1	13.82	0.1	13.8	0.1	0	0.1	7.64	0.1	0	0.1	0.02	0.11	30.6	2.42	25			0	End Block
0.1	0.9	0.1	326.53	0.1	316.45	0.1	13.82	0.1	13.8	0.1	0	0.1	7.64	0.1	0	0.1	0.02	0.12	30.6	2.52	26			0	Block Eluent_B_Inlet
0.1	0.86	0.1	326.49	0.1	316.37	0.1	13.82	0.1	13.8	0.1	0	0.1	7.64	0.1	0	0.1	0.02	0.12	30.6	2.62	27			0	Base SameAsMain
0.11	0.83	0.11	326.46	0.11	316.29	0.11	13.82	0.11	13.8	0.11	0	0.11	7.64	0.11	0	0.11	0.02	0.13	30.6	2.72	28			0	PumpBInlet B1 
0.11	0.84	0.11	326.48	0.11	316.27	0.11	13.82	0.11	13.8	0.11	0	0.11	7.64	0.11	0	0.11	0.02	0.13	30.6	2.82	29			0	End Block
0.12	0.87	0.12	326.52	0.12	316.29	0.12	13.82	0.12	13.8	0.12	0	0.12	7.64	0.12	0	0.12	0.02	0.14	30.6	2.92	30			0	Block Start_Conc_B
0.12	0.9	0.12	326.56	0.12	316.3	0.12	13.82	0.12	13.8	0.12	0	0.12	7.64	0.12	0	0.12	0.02	0.14	30.6	2.95	Waste			0	Base SameAsMain
0.12	0.89	0.12	326.56	0.12	316.27	0.12	13.82	0.12	13.8	0.12	0	0.12	7.64	0.12	0	0.12	0.02	0.14	30.6					0	Gradient      0.0 %B,    0.000 CV
0.13	0.88	0.13	326.56	0.13	316.24	0.13	13.82	0.13	13.8	0.13	0	0.13	7.64	0.13	0	0.13	0.02	0.15	30.7					0	End Block
0.13	0.9	0.13	326.57	0.13	316.29	0.13	13.82	0.13	13.8	0.13	0	0.13	7.64	0.13	0	0.13	0.02	0.15	30.7					0	Block Column_Equilibration
0.14	0.94	0.14	326.59	0.14	316.37	0.14	13.81	0.14	13.8	0.14	0	0.14	7.64	0.14	0	0.14	0.02	0.16	30.7					0	Base SameAsMain
0.14	0.96	0.14	326.6	0.14	316.43	0.14	13.81	0.14	13.8	0.14	0	0.14	7.64	0.14	0	0.14	0.02	0.16	30.7					0	End Block
0.14	0.92	0.14	326.59	0.14	316.4	0.14	13.81	0.14	13.8	0.14	0	0.14	7.64	0.14	0	0.14	0.02	0.17	30.7					0	Block AutoZero_UV
0.15	0.87	0.15	326.58	0.15	316.37	0.15	13.81	0.15	13.8	0.15	0	0.15	7.64	0.15	0	0.15	0.02	0.17	30.7					0	Base SameAsMain
0.15	0.85	0.15	326.57	0.15	316.36	0.15	13.81	0.15	13.8	0.15	0	0.15	7.64	0.15	0	0.15	0.02	0.18	30.7					0	Watch_Off UV1
0.16	0.85	0.16	326.56	0.16	316.36	0.16	13.81	0.16	13.8	0.16	0	0.16	7.64	0.16	0	0.16	0.02	0.18	30.7					0	AutoZeroUV 
0.16	0.86	0.16	326.56	0.16	316.36	0.16	13.81	0.16	13.8	0.16	0	0.16	7.64	0.16	0	0.16	0.02	0.19	30.7					0	End Block
0.16	0.87	0.16	326.59	0.16	316.32	0.16	13.81	0.16	13.8	0.16	0	0.16	7.64	0.16	0	0.16	0.02	0.19	30.7					0	Block Aut_PressureFlow_Regulation
0.17	0.88	0.17	326.62	0.17	316.29	0.17	13.81	0.17	13.8	0.17	0	0.17	7.64	0.17	0	0.17	0.02	0.2	30.7					0	Base Time {min}
0.17	0.89	0.17	326.65	0.17	316.32	0.17	13.81	0.17	13.8	0.17	0	0.17	7.64	0.17	0	0.17	0.02	0.2	30.7					0	SystemPumpControlMode Normal ,     0.00 MPa,    0.000 ml/min
0.18	0.89	0.18	326.68	0.18	316.38	0.18	13.81	0.18	13.8	0.18	0	0.18	7.64	0.18	0	0.18	0.02	0.21	30.7					0	End Block
0.18	0.89	0.18	326.69	0.18	316.43	0.18	13.81	0.18	13.8	0.18	0	0.18	7.64	0.18	0	0.18	0.02	0.21	30.7					0	Block Sample_Injection_
0.18	0.88	0.18	326.66	0.18	316.4	0.18	13.81	0.18	13.8	0.18	0	0.18	7.64	0.18	0	0.18	0.02	0.21	30.7					0	Base SameAsMain
0.19	0.88	0.19	326.62	0.19	316.38	0.19	13.82	0.19	13.8	0.19	0	0.19	7.64	0.19	0	0.19	0.02	0.22	30.7					0	InjectionValve Inject 
0.19	0.88	0.19	326.64	0.19	316.36	0.19	13.82	0.19	13.8	0.19	0	0.19	7.64	0.19	0	0.19	0.02	0.22	30.7					0	Block Sample_Injection
0.2	0.89	0.2	326.67	0.2	316.34	0.2	13.82	0.2	13.8	0.2	0	0.2	7.65	0.2	0	0.2	0.02	0.23	30.7					0	Base Volume {ml}
0.2	0.89	0.2	326.69	0.2	316.32	0.2	13.82	0.2	13.8	0.2	0	0.2	7.65	0.2	0	0.2	0.02	0.23	30.7					0.03	End Block
0.2	0.89	0.2	326.67	0.2	316.33	0.2	13.82	0.2	13.8	0.2	0	0.2	7.65	0.2	0	0.2	0.02	0.24	30.7					0.03	InjectionValve Load 
0.21	0.88	0.21	326.66	0.21	316.33	0.21	13.81	0.21	13.8	0.21	0	0.21	7.64	0.21	0	0.21	0.02	0.24	30.7					0.03	End Block
0.21	0.9	0.21	326.64	0.21	316.36	0.21	13.81	0.21	13.8	0.21	0	0.21	7.64	0.21	0	0.21	0.02	0.25	30.7					0.03	Block Aut_PressureFlow_Reset
0.22	0.92	0.22	326.63	0.22	316.4	0.22	13.81	0.22	13.8	0.22	0	0.22	7.64	0.22	0	0.22	0.02	0.25	30.7					0.03	Base Time {min}
0.22	0.92	0.22	326.61	0.22	316.42	0.22	13.81	0.22	13.8	0.22	0	0.22	7.64	0.22	0	0.22	0.02	0.26	30.7					0.03	SystemPumpControlMode Normal ,     0.00 MPa,    0.100 ml/min
0.22	0.89	0.22	326.61	0.22	316.4	0.22	13.81	0.22	13.8	0.22	0	0.22	7.64	0.22	0	0.22	0.02	0.26	30.7					0.03	Block Delay0p02min
0.23	0.86	0.23	326.6	0.23	316.37	0.23	13.82	0.23	13.8	0.23	0	0.23	7.64	0.23	0	0.23	0.02	0.27	30.7					0.03	Base Time {min}
0.23	0.84	0.23	326.6	0.23	316.36	0.23	13.82	0.23	13.8	0.23	0	0.23	7.64	0.23	0	0.23	0.02	0.27	30.7					0.03	End Block
0.24	0.84	0.24	326.61	0.24	316.35	0.24	13.82	0.24	13.8	0.24	0	0.24	7.64	0.24	0	0.24	0.02	0.28	30.8					0.03	End Block
0.24	0.83	0.24	326.61	0.24	316.34	0.24	13.82	0.24	13.8	0.24	0	0.24	7.64	0.24	0	0.24	0.02	0.28	30.8					0.03	Block Fractionation
0.24	0.82	0.24	326.6	0.24	316.33	0.24	13.82	0.24	13.8	0.24	0	0.24	7.64	0.24	0	0.24	0.02	0.28	30.8					0.03	Base SameAsMain
0.25	0.8	0.25	326.6	0.25	316.31	0.25	13.82	0.25	13.8	0.25	0	0.25	7.64	0.25	0	0.25	0.02	0.29	30.8					0.03	Fractionation_900    0.100 ml
0.25	0.83	0.25	326.65	0.25	316.35	0.25	13.82	0.25	13.8	0.25	0	0.25	7.64	0.25	0	0.25	0.02	0.29	30.8					0.03	End Block
0.26	0.88	0.26	326.71	0.26	316.4	0.26	13.82	0.26	13.8	0.26	0	0.26	7.64	0.26	0	0.26	0.02	0.3	30.8					0.03	Block Flow_Rate
0.26	0.91	0.26	326.76	0.26	316.44	0.26	13.82	0.26	13.8	0.26	0	0.26	7.64	0.26	0	0.26	0.02	0.3	30.8					0.03	Base SameAsMain
0.26	0.91	0.26	326.75	0.26	316.47	0.26	13.81	0.26	13.8	0.26	0	0.26	7.64	0.26	0	0.26	0.02	0.31	30.8					0.03	Flow    0.020 ml/min
0.27	0.91	0.27	326.74	0.27	316.49	0.27	13.81	0.27	13.8	0.27	0	0.27	7.64	0.27	0	0.27	0.02	0.31	30.8					0.03	End Block
0.27	0.89	0.27	326.71	0.27	316.43	0.27	13.81	0.27	13.8	0.27	0	0.27	7.64	0.27	0	0.27	0.02	0.32	30.8					0.03	Block Isocratic_Elution
0.28	0.86	0.28	326.68	0.28	316.36	0.28	13.81	0.28	13.8	0.28	0	0.28	7.64	0.28	0	0.28	0.02	0.32	30.8					0.03	Base SameAsMain
0.28	0.84	0.28	326.66	0.28	316.3	0.28	13.81	0.28	13.8	0.28	0	0.28	7.64	0.28	0	0.28	0.02	0.33	30.8					0.03	Block Length_of_Elution
0.28	0.83	0.28	326.67	0.28	316.3	0.28	13.81	0.28	13.8	0.28	0	0.28	7.64	0.28	0	0.28	0.02	0.33	30.8					0.03	Base SameAsMain
0.29	0.82	0.29	326.68	0.29	316.31	0.29	13.81	0.29	13.8	0.29	0	0.29	7.64	0.29	0	0.29	0.02	0.34	30.8					0.4	Pause 8/3/2021, 2:11:26 PM (Manual)
0.29	0.84	0.29	326.68	0.29	316.31	0.29	13.81	0.29	13.8	0.29	0	0.29	7.64	0.29	0	0.29	0.02	0.34	30.8					0.4	Fractionation_900    0.100 ml (Manual)
0.3	0.87	0.3	326.69	0.3	316.31	0.3	13.81	0.3	13.8	0.3	0	0.3	7.64	0.3	0	0.3	0.02	0.35	30.8					0.4	Hold 8/3/2021, 2:22:25 PM (Manual)
