10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;
Nadine SEC Superose 6001:10_UV1_280nm;mAU;Nadine SEC Superose 6001:10_UV2_360nm;mAU;Nadine SEC Superose 6001:10_UV3_410nm;mAU;Nadine SEC Superose 6001:10_Cond;;Nadine SEC Superose 6001:10_Cond%;;Nadine SEC Superose 6001:10_Conc;;Nadine SEC Superose 6001:10_pH;;Nadine SEC Superose 6001:10_Pressure;;Nadine SEC Superose 6001:10_Flow;;Nadine SEC Superose 6001:10_Temp;;Nadine SEC Superose 6001:10_Fractions;;Nadine SEC Superose 6001:10_Inject;;Nadine SEC Superose 6001:10_Logbook;
ml;280 nm;ml;360 nm;ml;410 nm;ml; mS/cm;ml; %;ml; %B;ml; ;ml; MPa;ml; ml/min;ml; °C;ml;(Fractions);ml;(Injections);ml;(Set Marks)
0.00;-0.26;0.00;326.09;0.00;316.18;0.00;13.78;0.00;13.80;0.00;0.00;0.00;7.65;0.00;0.00;0.00;0.02;0.00;29.30;0.04;1;0.00;3;-0.01;Method Run 8/4/2021, 10:53:27 AM W. Europe Daylight Time, Method : Nadine
0.00;0.08;0.00;326.30;0.00;316.29;0.00;13.78;0.00;13.80;0.00;0.00;0.00;7.65;0.00;0.00;0.00;0.02;0.00;29.30;0.14;2;;;-0.01;User default in control of the run
0.01;0.41;0.01;326.50;0.01;316.41;0.01;13.78;0.01;13.80;0.01;0.00;0.01;7.65;0.01;0.00;0.01;0.02;0.01;29.40;0.24;3;;;-0.01;Batch ID: 9B4C6B58-FF2C-4E85-925B-44ABD277905C
0.01;0.82;0.01;326.70;0.01;316.60;0.01;13.78;0.01;13.80;0.01;0.00;0.01;7.65;0.01;0.00;0.01;0.02;0.01;29.40;0.34;4;;;-0.01;Base CV, 2.41 {ml}, Superose_6_PC_3.2/30
0.02;1.28;0.02;326.90;0.02;316.88;0.02;13.78;0.02;13.80;0.02;0.00;0.02;7.66;0.02;0.00;0.02;0.02;0.02;29.40;0.44;5;;;-0.01;Block Start_with_PumpWash_Purifier
0.02;1.72;0.02;327.09;0.02;317.13;0.02;13.78;0.02;13.80;0.02;0.00;0.02;7.66;0.02;0.00;0.02;0.02;0.02;29.40;0.54;6;;;-0.01;Base SameAsMain
0.02;1.81;0.02;327.11;0.02;317.13;0.03;13.78;0.03;13.80;0.03;0.00;0.03;7.66;0.03;0.00;0.03;0.02;0.02;29.40;0.64;7;;;0.00;PumpWashPurifier OFF, OFF, OFF, OFF
0.03;1.89;0.03;327.14;0.03;317.12;0.03;13.78;0.03;13.80;0.03;0.00;0.03;7.66;0.03;0.00;0.03;0.02;0.03;29.40;0.74;8;;;0.00;End Block
0.03;1.92;0.03;327.13;0.03;317.09;0.03;13.78;0.03;13.80;0.03;0.00;0.03;7.66;0.03;0.00;0.03;0.02;0.03;29.40;0.84;9;;;0.00;Block Flow_Rate
0.04;1.91;0.04;327.10;0.04;317.04;0.04;13.78;0.04;13.80;0.04;0.00;0.04;7.66;0.04;0.00;0.04;0.02;0.04;29.40;0.94;10;;;0.00;Base SameAsMain
