10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;
Nadine SEC Superose 6001:10_UV1_280nm;;Nadine SEC Superose 6001:10_UV2_360nm;;Nadine SEC Superose 6001:10_UV3_410nm;;Nadine SEC Superose 6001:10_Cond;;Nadine SEC Superose 6001:10_Cond%;;Nadine SEC Superose 6001:10_Conc;;Nadine SEC Superose 6001:10_pH;;Nadine SEC Superose 6001:10_Pressure;;Nadine SEC Superose 6001:10_Flow;;Nadine SEC Superose 6001:10_Temp;;Nadine SEC Superose 6001:10_Fractions;;Nadine SEC Superose 6001:10_Inject;;Nadine SEC Superose 6001:10_UV1_280nm@01,BASEM;;Nadine SEC Superose 6001:10_Logbook;
min;UV1_280nm;min;UV2_360nm;min;UV3_410nm;min; mS/cm;min; %;min; %B;min; ;min; MPa;min; ml/min;min; °C;min;(Fractions);min;(Injections);min; mAU;min;(Set Marks)
3.04;16.73;3.04;341.23;3.04;326.10;3.17;3.94;3.17;3.90;3.17;0.00;3.17;7.87;3.17;0.12;3.17;0.02;3.17;28.30;48.66;20;;;3.04;-3.42;-0.03;AveragingTimeUV 5.12 sec
3.20;15.11;3.20;340.41;3.20;325.66;3.33;3.88;3.33;3.90;3.33;0.00;3.33;7.88;3.33;0.13;3.33;0.02;3.33;28.30;51.15;21;;;3.20;-3.42;-0.03;End Block
3.36;13.56;3.36;339.69;3.36;324.90;3.50;3.67;3.50;3.70;3.50;0.00;3.50;7.88;3.50;0.13;3.50;0.02;3.50;28.30;53.65;22;;;3.36;-3.42;-0.03;Block Eluent_A_Inlet
3.52;12.17;3.52;339.10;3.52;324.55;3.67;3.41;3.67;3.40;3.67;0.00;3.67;7.87;3.67;0.13;3.67;0.02;3.67;28.30;56.14;23;;;3.52;-3.42;-0.03;Base SameAsMain
3.68;11.01;3.68;338.52;3.68;324.04;3.83;3.17;3.83;3.20;3.83;0.00;3.83;7.87;3.83;0.13;3.83;0.02;3.83;28.30;58.64;24;;;3.68;-3.42;-0.03;PumpAInlet A1 
3.84;9.95;3.84;338.03;3.84;323.74;4.00;2.98;4.00;3.00;4.00;0.00;4.00;7.87;4.00;0.11;4.00;0.02;4.00;28.30;61.14;25;;;3.84;-3.42;-0.03;End Block
4.00;8.96;4.00;337.63;4.00;323.39;4.17;2.85;4.17;2.80;4.17;0.00;4.17;7.87;4.17;0.11;4.17;0.02;4.17;28.30;63.63;26;;;4.00;-3.42;-0.03;Block Eluent_B_Inlet
4.16;8.33;4.16;337.32;4.16;323.26;4.33;2.77;4.33;2.80;4.33;0.00;4.33;7.88;4.33;0.12;4.33;0.02;4.33;28.30;66.13;27;;;4.16;-3.42;-0.03;Base SameAsMain
4.32;7.65;4.32;337.12;4.32;322.99;4.50;2.75;4.50;2.70;4.50;0.00;4.50;7.87;4.50;0.11;4.50;0.02;4.50;28.30;68.63;28;;;4.32;-3.42;-0.03;PumpBInlet B1 
4.48;6.84;4.48;336.66;4.48;322.65;4.67;2.75;4.67;2.80;4.67;0.00;4.67;7.88;4.67;0.12;4.67;0.02;4.67;28.30;71.12;29;;;4.48;-3.42;-0.03;End Block
